,Title,Year of release,Genres
82,ArcherSeason 1 (10 episodes)Season 2 (13 episodes)Season 3 (13 episodes)Season 4 (13 episodes)Season 5 (13 episodes)Season 6 (13 episodes)Season 7 (10 episodes)Season 8 (8 episodes)Season 9 (8 episodes),2018,Sitcoms Animation TV Animated Comedies TV Comedies TV Action & Adventure US TV Shows
83,ArgonOriginalSeason 1 (8 episodes),2017,TV Dramas Political TV Shows Korean TV Shows
84,Ari Shaffir: Double NegativeOriginalCollection (2 episodes),2017,Dark Comedies Comedies Stand-Up Comedy
85,Armed Girl's MachiavellismSeason 1 (12 episodes),2017,Action Anime Anime Series Anime Japanese TV Shows School Anime TV Shows based on Manga
86,ArrowSeason 1 (23 episodes)Season 2 (23 episodes)Season 3 (23 episodes)Season 4 (23 episodes)Season 5 (23 episodes)Season 6 (23 episodes),2018,TV Action & Adventure Crime TV Shows Comic Book & Superhero TV US TV Shows TV Shows based on Comics
87,AscensionAscension (6 episodes),2014,TV Sci-Fi & Fantasy TV Mysteries Crime TV Shows US TV Shows TV Thrillers
88,Ashes of LoveSeason 1 (63 episodes),2018,TV Sci-Fi & Fantasy TV Dramas Romantic TV Shows Chinese TV Shows TV Shows based on Books
89,Ask the DoctorSeason 1 (12 episodes),2017,Documentaries Docuseries Australian TV Shows Science & Nature TV Lifestyle
90,Ask the StoryBotsOriginalSeason 2 (8 episodes)Season 1 (6 episodes),2018,Animation Education for Kids TV Cartoons Kids' TV Shows Animated Movies & TV for Kids
91,Assassination ClassroomSeason 1 (22 episodes)Season 2 (25 episodes),2016,Action Anime Anime Series Anime Japanese TV Shows Sci-Fi & Fantasy Anime School Anime TV Shows based on Manga
92,AtelierOriginalSeason 1 (13 episodes),2015,TV Dramas Japanese TV Shows
93,AtypicalOriginalSeason 1 (8 episodes)Season 2 (10 episodes),2018,TV Comedies TV Dramas Teen TV Shows US TV Shows
94,Auschwitz: The Nazis and the Final SolutionSeason 1 (6 episodes),2005,Military Documentaries Historical Documentaries Documentaries Docuseries British TV Shows
95,Autumn's ConcertoAutumn's Concerto (34 episodes),2009,TV Dramas Romantic TV Shows Chinese TV Shows Taiwanese TV Shows
96,Avec EricCollection 1 (12 episodes),2016,Documentaries Docuseries US TV Shows Food & Travel TV
97,B: The BeginningOriginalSeason 1 (12 episodes),2018,Action Anime Anime Series Anime Crime TV Shows Japanese TV Shows Sci-Fi & Fantasy Anime
98,BAKIOriginalPart 1 (13 episodes),2018,Action Anime Anime Series Anime Japanese TV Shows TV Shows based on Manga
99,BabyOriginalSeason 1 (6 episodes),2018,TV Dramas Teen TV Shows Italian TV Shows
100,Baby BallroomOriginalSeason 1 (8 episodes)Season 2 (7 episodes),2018,Reality TV Shows Competition Reality TV British TV Shows
101,BabylonBabylon: Season 1 (7 episodes),2014,TV Comedies TV Dramas Political TV Shows Crime TV Dramas Crime TV Shows British TV Shows
102,Back Street Girls -GOKUDOLS-OriginalSeason 1 (10 episodes),2018,Anime Series Anime Japanese TV Shows TV Shows based on Manga
