,Title,Year of release,Runtime (mins),Genres,Platform
2161,Main Awara Hoon,1983,148 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2162,Kishen Kanhaiya,1990,157 min,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",AmazonPrime
2163,Lal Dupatta Malmal Ka,1989,130 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2164,Tadipaar,1993,134 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2165,Ek Baar Chale Aao,1983,126 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2166,Payal Ki Jhankaar,1980,114 min,"Bollywood: Drama, Drama: Bollywood, Music/Musical: Ballet/Dance, World Cinema: Indian",AmazonPrime
2167,Manokaamnaa,1980,109 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2168,Pooja Ke Phool,1964,161 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2169,Mere Bhaiya,1972,138 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2170,Saanch Ko Aanch Nahin,1979,138 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2171,Tinku,1977,135 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2172,Meera Ka Mohan,1992,148 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2173,Gharana,1961,154 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2174,Aaja Meri Jaan,1993,162 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2175,Aurat,1967,149 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2176,Jeene Ki Raah,1969,150 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2177,Udhar Ka Sindur,1976,136 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2178,Ghazab,1982,162 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2179,Rani Rupmati,1957,148 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Historical, Drama: Romance, World Cinema: Indian",AmazonPrime
2180,Jaane Anjaane,1971,139 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2181,Amba,1990,153 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2182,Phoolon Ki Sej,1964,148 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2183,Parvarish,1958,129 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2184,Mehndi,1998,159 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2185,Tumhare Bina,1982,139 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2186,Beti Bete,1964,145 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2187,Zakhmo Ka Hisaab,1993,130 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2188,Sheela,1986,93 min,"Bollywood: Action/Adventure, World Cinema: Indian",AmazonPrime
2189,Hum To Chale Pardes,1988,138 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2190,Bhakt Prahlad,1967,150 min,"Bollywood: Drama, Drama: Bollywood, Mythology, World Cinema: Indian",AmazonPrime
2191,Love 86,1986,145 min,"Bollywood: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2192,Mohabbat,1985,134 min,"Bollywood, Romance, World Cinema: Indian",AmazonPrime
2193,Ankhiyon Ke Jharokhon Se,1978,139 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2194,Maa,1976,137 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2195,Sangram,1993,156 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2196,Dil Hai Betaab,1993,121 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2197,Ram Rajya,1943,118 min,"Bollywood: Drama, Drama: Bollywood, Drama: Period, Mythology, World Cinema: Indian",AmazonPrime
2198,Jazbaat,1980,124 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2199,Hasti,1993,149 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2200,Meharbaani,1982,142 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2201,Yash,1996,132 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2202,Gopal Krishna,1979,129 min,"Bollywood, Drama: Period, Mythology, World Cinema: Indian",AmazonPrime
2203,Zalzala,1988,169 min,"Bollywood: Action/Adventure, World Cinema: Indian",AmazonPrime
2204,Gaai Aur Gori,1973,151 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2205,Janani,2006,124 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2206,Ab Insaaf Hoga,1995,144 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2207,Billoo Badshah,1989,155 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2208,First Love Letter,1991,165 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2209,Man Mandir,1971,154 min,"Bollywood: Drama, World Cinema: Indian",AmazonPrime
2210,Prem Pratigyaa,1989,136 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2211,Hogi Pyar Ki Jeet,1999,148 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2212,Phaansi Ke Baad,1985,138 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2213,Aasra,1966,154 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2214,Dance Of The Wind,1999,80 min,"Bollywood: Drama, Drama: Bollywood, Drama: Musical, World Cinema: Indian",AmazonPrime
2215,Farz Aur Kanoon,1982,149 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2216,Jeevan Jyoti,1976,136 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2217,Sun Sajna,1982,138 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2218,Raaja,1975,132 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2219,Humkadam,1980,123 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2220,Poochho Mere Dil Se,2004,132 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2221,Laat Saab,1992,125 min,"Bollywood: Drama, Drama: Bollywood, Drama: Mystery, World Cinema: Indian",AmazonPrime
2222,Jyoti,1981,144 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2223,Naraaz,1994,128 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2224,Raj Tilak,1958,155 min,"Bollywood: Drama, Drama: Bollywood, Drama: Period, World Cinema: Indian",AmazonPrime
2225,Poonam,1981,138 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2226,Ahankaar,1995,145 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2227,Aansoo Bane Angaarey,1993,150 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2228,Aar Paar,1985,139 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2229,Sahibaan,1993,133 min,"Bollywood: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
2230,Bidaai,1974,138 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2231,Rakta Bandhan,1984,132 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2232,Picnic,1966,138 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2233,Paras,1971,152 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2234,Patita,1980,126 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2235,Pyar Ka Devta,1991,165 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2236,Ghazab Tamasha,1992,142 min,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2237,Mudda The Issue,2003,136 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2238,Chhoti Bahen,1959,159 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2239,Swati,1986,151 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2240,Angaara,1996,114 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2241,Tere Bina Kya Jeena,1989,129 min,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",AmazonPrime
2242,Ghar Aaya Mera Pardesi,1993,130 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2243,Woh Jo Haseena Thi,1983,110 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2244,Zid,1994,129 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2245,Aandhiyan,1990,144 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
2246,Mitti Aur Sona,1989,161 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2247,Ilzaam,1986,152 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2248,Taxi Driver,1973,118 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2249,Daadi Maa,1966,171 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2250,Haque,1991,121 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2251,Rachna,1983,125 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2252,Pyar Ka Mandir,1988,148 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2253,Faraib,1983,126 min,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
2254,Ranbhool,2010,115 min,"Thriller: Drama, Thriller: Mystery, World Cinema: Indian",AmazonPrime
2255,Waqt Hamara Hai,1993,147 min,"Romance: Action/Adventure, World Cinema: Indian",AmazonPrime
2256,Janeman,2012,133 min,"Romance: Drama, World Cinema: Indian",AmazonPrime
2257,Yeh Zindagi Kitni Haseen Hai,1966,131 min,"Romance: Drama, World Cinema: Indian",AmazonPrime
2258,Sharada,1957,137 min,"Drama, Music/Musical, Romance, World Cinema: Indian",AmazonPrime
2259,The Jungle Bunch: Back To The Ice Floe,2012,54 min,"Animated: Children, Children: Animated/Cartoon",AmazonPrime
2260,The Lego Movie,2014,100 min,"Animated: Children, Children: Animated/Cartoon, Children: Comedy, Family: Animated",AmazonPrime
2261,Chhota Bheem Himalayan Adventure,2016,94 min,"Animated: Children, Children: Animated/Cartoon, World Cinema: Indian",AmazonPrime
2262,Kung Fu Panda 2,2011,90 min,"Animated: Family, Children: Animated/Cartoon, Children: Comedy, Family: Action/Adventure, Family: Animated, Family: Comedy",AmazonPrime
2263,Kung Fu Panda,2008,91 min,"Animated: Family, Children: Animated/Cartoon, Children: Comedy, Family: Action/Adventure, Family: Animated, Family: Comedy",AmazonPrime
2264,Madagascar 3: Europe’s Most Wanted,2012,93 min,"Animated: Children, Children: Animated/Cartoon, Children: Comedy, Family: Action/Adventure, Family: Animated, Family: Comedy",AmazonPrime
2265,Shrek 2,2004,92 min,"Animated: Children, Children: Animated/Cartoon, Children: Comedy, Family: Animated",AmazonPrime
2266,Shrek Forever After,2010,93 min,"Animated: Children, Children: Animated/Cartoon, Children: Comedy, Family: Animated",AmazonPrime
2267,Shrek the Third,2007,92 min,"Animated: Children, Children: Animated/Cartoon, Children: Comedy, Family: Animated",AmazonPrime
2268,Megamind,2010,95 min,"Animated: Children, Animated: Family, Children: Animated/Cartoon, Children: Comedy",AmazonPrime
2269,Over The Hedge,2006,83 min,"Animated: Children, Children: Animated/Cartoon",AmazonPrime
2270,Chhotabheem aur Krishna,2009,68 min,"Animated: Children, Children: Animated/Cartoon, World Cinema: Indian",AmazonPrime
2271,Shark Tale,2004,89 min,"Animated: Children, Children: Animated/Cartoon, Children: Comedy",AmazonPrime
2272,Chhota Bheem In The Incan Adventure,2013,64 min,"Animated: Children, Children: Animated/Cartoon, World Cinema: Indian",AmazonPrime
2273,Swami Ayyappan,2016,92 min,"Animated: Children, Children: Animated/Cartoon, Mythology, World Cinema: Indian",AmazonPrime
2274,Bunyan and Babe,2017,84 min,"Animated: Children, Children: Animated/Cartoon, World Cinema: Indian",AmazonPrime
2275,Wallace & Gromit: The Curse of the Were-Rabbit,2005,84 min,"Animated: Children, Children: Animated/Cartoon",AmazonPrime
2276,Super Hero School,2014,65 min,"Animated: Children, Children: Animated/Cartoon, World Cinema: Indian",AmazonPrime
2277,Karamati Coat,1993,86 min,"Children: Sci-Fi/Fantasy, World Cinema: Indian",AmazonPrime
0,#Rucker50,2016,56,Documentaries,Netflix
1,#realityhighOriginal,2017,99,Comedies,Netflix
2,(T)ERROR,2015,84,Critically-acclaimed Movies,Netflix
3,1 Chance 2 Dance,2014,89,Dramas,Netflix
4,1 Night,2016,75,Dramas,Netflix
5,10 Things I Hate About You,1999,98,Comedies,Netflix
6,10 jours en or,2012,97,Comedies,Netflix
7,"10,000 B.C.",2008,109,Action & Adventure,Netflix
8,100 Days of Solitude,2018,93,Documentaries,Netflix
9,100 Meters,2016,109,Dramas,Netflix
10,1000 Rupee Note,2014,89,Crime Dramas,Netflix
11,101 Dalmatians,1961,79,Adventures,Netflix
12,101 Dalmatians,1996,103,Animal Tales,Netflix
13,12 Rounds 3: Lockdown,2015,90,Action & Adventure,Netflix
14,12 Years a Slave,2013,134,Biographical Dramas,Netflix
15,13 Sins,2014,92,Crime Movies,Netflix
16,13THOriginal,2016,101,Critically-acclaimed Movies,Netflix
17,14 Minutes from Earth,2016,84,Documentaries,Netflix
18,16 Blocks,2006,97,Action & Adventure,Netflix
19,17 Again,2009,102,Comedies,Netflix
20,1898: Our Last Men in the Philippines,2016,130,Dramas,Netflix
21,1920,2008,143,Bollywood Movies,Netflix
22,1920 London,2016,113,Bollywood Movies,Netflix
23,1922Original,2017,103,Crime Dramas,Netflix
24,2 Alone in Paris,2008,97,Comedies,Netflix
25,2 Fast 2 Furious,2003,108,Action & Adventure,Netflix
26,"2,215",2018,89,Documentaries,Netflix
27,200 mph,2011,92,Action & Adventure,Netflix
28,2001: A Space Odyssey,1968,149,Action & Adventure,Netflix
29,2012,2009,158,Action & Adventure,Netflix
30,2012: Ice Age,2011,91,Action & Adventure,Netflix
31,2015 Dream Concert,2015,107,Exciting Movies,Netflix
32,21,2008,123,Crime Dramas,Netflix
33,22 JulyOriginal,2018,144,Courtroom Dramas,Netflix
34,23:59,2011,78,Horror Movies,Netflix
35,25 Kille,2016,140,Action & Adventure,Netflix
36,26 Years,2012,135,Dramas,Netflix
37,27: Gone Too Soon,2017,70,Documentaries,Netflix
38,3 Days to Kill,2014,117,Action & Adventure,Netflix
39,3 Heroines,2016,124,Biographical Dramas,Netflix
40,3 Türken & ein Baby,2015,93,Comedies,Netflix
41,30 Days in September,2017,74,Dark Movies,Netflix
42,30 Minutes or Less,2011,83,Action & Adventure,Netflix
43,3000 Miles to Graceland,2001,125,Action & Adventure,Netflix
44,4.3.2.1,2010,112,British Movies,Netflix
45,40 Year Old Virgins,2013,48,British Movies,Netflix
46,41 Dogs in My Home,2015,44,British TV Shows,Netflix
47,44 Pages,2018,90,Documentaries,Netflix
48,47 Metres Down,2017,89,British Movies,Netflix
49,48 Christmas Wishes,2017,84,Children & Family Movies,Netflix
50,4th Man Out,2015,86,Comedies,Netflix
51,5 Cowok Jagoan,2017,106,Action & Adventure,Netflix
52,5 Flights Up,2014,92,Dramas,Netflix
53,5 Star ChristmasOriginal,2018,96,Comedies,Netflix
54,50 First Dates,2004,99,Comedies,Netflix
55,500 MPH Storm,2013,86,Action & Adventure,Netflix
56,5CM,2012,126,Dramas,Netflix
57,6 BalloonsOriginal,2018,75,Critically-acclaimed Movies,Netflix
58,6 Bullets,2012,115,Action & Adventure,Netflix
59,6 DaysOriginal,2017,95,Action & Adventure,Netflix
60,6 Years,2015,80,Dramas,Netflix
61,6-5=2,2014,103,Hindi-Language Movies,Netflix
62,7 Khoon Maaf,2011,148,Bollywood Movies,Netflix
63,7 añosOriginal,2016,77,Dramas,Netflix
64,78/52,2017,92,Crime Documentaries,Netflix
65,7:19,2016,93,Critically-acclaimed Movies,Netflix
66,88,2015,85,Action & Adventure,Netflix
67,8MM,1999,123,Crime Movies,Netflix
68,99,2009,138,Comedies,Netflix
69,A 2nd Chance,2011,95,Australian Movies,Netflix
70,A Barefoot Dream,2010,120,Biographical Dramas,Netflix
71,A Beautiful Life,2011,122,Chinese Movies,Netflix
72,A Billion Colour Story,2016,104,Dramas,Netflix
73,A Bug's Life,1998,95,Adventures,Netflix
74,A Case of You,2013,91,Comedies,Netflix
75,A Christmas PrinceOriginal,2017,92,Children & Family Movies,Netflix
76,A Christmas Prince: The Royal WeddingOriginal,2018,93,Children & Family Movies,Netflix
77,A Clockwork Orange,1971,137,British Movies,Netflix
78,A Complicated Story,2013,108,Chinese Movies,Netflix
79,A Dogwalker's Christmas Tale,2015,86,Comedies,Netflix
80,A Family Affair,2015,111,Biographical Documentaries,Netflix
81,A Flying Jatt,2016,142,Action & Adventure,Netflix
82,A Futile and Stupid GestureOriginal,2018,102,Biographical Movies,Netflix
83,A Gentle Creature,2017,143,Dark Movies,Netflix
84,A Good Man,2014,103,Action & Adventure,Netflix
85,A Grand Night In: The Story of Aardman,2015,59,British Movies,Netflix
86,A Gray State,2017,93,Biographical Documentaries,Netflix
87,A Kid Like Jake,2018,89,Dramas,Netflix
88,A Kind of Murder,2016,95,Crime Movies,Netflix
89,A Little Bit of Heaven,2011,106,Dramas,Netflix
90,A Little Chaos,2014,112,British Movies,Netflix
91,A Long Way Down,2014,96,British Movies,Netflix
92,A Lot Like Love,2005,107,Comedies,Netflix
93,A Man for All Seasons,1966,121,Biographical Dramas,Netflix
94,A Matter of Faith,2014,88,Dramas,Netflix
95,A Mighty Team,2016,97,Comedies,Netflix
96,A Most Wanted Man,2014,117,Critically-acclaimed Movies,Netflix
97,A New Capitalism,2017,76,Documentaries,Netflix
98,A Noble Intention,2015,111,Dramas,Netflix
99,A Perfect Day,2015,106,Comedies,Netflix
100,A Plastic Ocean,2016,100,Documentaries,Netflix
101,A Prayer Before DawnOriginal,2018,117,Action & Adventure,Netflix
102,A Royal Christmas,2014,89,Children & Family Movies,Netflix
103,A Russell Peters Christmas,2011,44,Comedies,Netflix
104,A Scandall,2016,108,Hindi-Language Movies,Netflix
105,A Second Chance,2015,130,Dramas,Netflix
106,A Soldier's Story,2015,110,African Movies,Netflix
107,A Sort of Family,2017,96,Argentinian Movies,Netflix
108,A StoryBots ChristmasOriginal,2017,26,Animated,Netflix
109,A Street Cat Named Bob,2016,103,Biographical Dramas,Netflix
110,A Tale of Legendary Libido,2008,111,Comedies,Netflix
111,A Twelve Year NightOriginal,2018,122,Biographical Dramas,Netflix
112,A Very Murray ChristmasOriginal,2015,57,Comedies,Netflix
113,A Walk Among the Tombstones,2014,114,Crime Movies,Netflix
114,A Walk to Remember,2002,97,Dramas,Netflix
115,A Wednesday,2008,103,Action & Adventure,Netflix
116,A Week in Watts,2017,91,Documentaries,Netflix
117,A Wish for Christmas,2016,84,Canadian Movies,Netflix
118,A Witches' Ball,2017,91,Canadian Movies,Netflix
119,A Year in Champagne,2014,82,Documentaries,Netflix
120,A Yellow Bird,2016,111,Dramas,Netflix
121,A&E: When Patients Attack,2015,44,British Movies,Netflix
122,ABCD 2,2015,146,Disney Movies,Netflix
123,ABCD: Any Body Can Dance,2013,136,Bollywood Movies,Netflix
124,ABCs of Death 2,2014,122,Horror Movies,Netflix
125,ADAM SANDLER 100% FRESHOriginal,2018,74,Comedies,Netflix
126,AE: Apocalypse Earth,2013,87,Action & Adventure,Netflix
127,APEX: The Story of the Hypercar,2016,86,Documentaries,Netflix
128,ARQOriginal,2016,89,Canadian Movies,Netflix
129,ATM,2012,122,Comedies,Netflix
130,"AWAKE, A Dream from Standing Rock",2017,89,Documentaries,Netflix
131,Aadu 2,2017,150,Comedies,Netflix
132,Aagey Se Right,2009,117,Bollywood Movies,Netflix
133,Aajcha Divas Majha,2013,126,Comedies,Netflix
134,Aakhri Adaalat,1988,148,Action & Adventure,Netflix
135,Aalorukkam,2018,122,Critically-acclaimed Movies,Netflix
136,Aamir,2008,95,Bollywood Movies,Netflix
137,Aankhen,2002,158,Bollywood Movies,Netflix
138,Aashayein,2010,115,Bollywood Movies,Netflix
139,Aashik Awara,1993,154,Bollywood Movies,Netflix
140,Aata Pita,2010,133,Comedies,Netflix
141,Ab Tak Chhappan,2004,130,Crime Dramas,Netflix
142,Ab Tak Chhappan 2,2015,101,Action & Adventure,Netflix
143,Abby Sen,2015,127,Bengali-Language Movies,Netflix
144,Abducted in Plain Sight,2017,90,Crime Documentaries,Netflix
145,Abduction,2011,102,Action & Adventure,Netflix
146,"Abdullah, The Final Witness",2016,88,Crime Dramas,Netflix
147,Abhinetri,2016,131,Comedies,Netflix
148,Abzurdah,2015,90,Argentinian Movies,Netflix
149,Acapulco La vida va,2016,89,Comedies,Netflix
150,Accident,2009,87,Chinese Movies,Netflix
151,According to Greta,2009,92,Dramas,Netflix
152,Ace Ventura Pet Detective Jr.,2009,94,Children & Family Movies,Netflix
153,Ace Ventura: Pet Detective,1994,86,Comedies,Netflix
154,Ace Ventura: When Nature Calls,1995,94,Action & Adventure,Netflix
155,Across Grace Alley,2013,24,Dramas,Netflix
156,Act of Valor,2012,109,Action & Adventure,Netflix
157,Act of Vengeance,2010,112,Action & Adventure,Netflix
158,Action Replayy,2010,129,Bollywood Movies,Netflix
159,Acts of Vengeance,2017,87,Action & Adventure,Netflix
160,Addicted to Sexting,2015,80,Documentaries,Netflix
161,Adel Karam: Live from BeirutOriginal,2018,59,Comedies,Netflix
162,Adhugo,2018,105,Comedies,Netflix
163,Aditi Mittal: Things They Wouldn't Let Me SayOriginal,2017,63,Comedies,Netflix
164,Advantageous,2015,92,Critically-acclaimed Movies,Netflix
165,After Porn Ends 2,2017,99,Documentaries,Netflix
166,After Porn Ends 3,2018,87,Documentaries,Netflix
167,After the Ball,2015,102,Canadian Movies,Netflix
168,Afternoon Delight,2013,98,Comedies,Netflix
169,Agadbam,2010,127,Comedies,Netflix
170,Again Kasargod Khader Bai,2010,125,Action & Adventure,Netflix
171,Aggretsuko: We Wish You a Metal ChristmasOriginal,2018,22,Anime,Netflix
172,Agustín Aristarán: Soy RadaOriginal,2018,60,Comedies,Netflix
173,Agyaat,2009,97,Creature Features,Netflix
174,Aisa Yeh Jahaan,2015,127,Dramas,Netflix
175,Aitraaz,2004,153,Bollywood Movies,Netflix
176,Aiyaary,2018,158,Action & Adventure,Netflix
177,Aiyyaa,2012,151,Bollywood Movies,Netflix
178,Ajab Prem Ki Ghazab Kahani,2009,150,Bollywood Movies,Netflix
179,Ajji,2017,105,Dark Movies,Netflix
180,Aladdin,1992,91,Animated,Netflix
181,Alan Saldaña: Mi vida de pobreOriginal,2017,54,Comedies,Netflix
182,Albion: The Enchanted Stallion,2016,106,Adventures,Netflix
183,Alejandro Riaño: Especial de stand upOriginal,2018,60,Comedies,Netflix
184,Alejandro Sanz: What I Was Is What I Am,2018,102,Biographical Documentaries,Netflix
185,Alex StrangeloveOriginal,2018,100,Comedies,Netflix
186,Ali,2001,157,Biographical Dramas,Netflix
187,Ali Baba ve 7 Cüceler,2015,115,Action & Adventure,Netflix
188,Ali G Indahouse,2002,87,British Movies,Netflix
189,Ali Wong: Baby CobraOriginal,2016,60,Comedies,Netflix
190,Ali Wong: Hard Knock WifeOriginal,2018,64,Comedies,Netflix
191,Ali's WeddingOriginal,2018,110,Australian Movies,Netflix
192,Alibaba,2002,74,Action & Adventure,Netflix
193,Alibaba Aur 40 Chor,1980,147,Action & Adventure,Netflix
194,Alice Through the Looking Glass,2016,114,Adventures,Netflix
195,Alice in Wonderland,2010,109,Adventures,Netflix
196,Alien Autopsy: Fact or Fiction?,1995,46,Documentaries,Netflix
197,Alien Contact: Outer Space,2017,63,Documentaries,Netflix
198,Alien Mummies,2012,50,British Movies,Netflix
199,Alive and Kicking,2016,89,Critically-acclaimed Movies,Netflix
200,All Work All Play,2015,94,Documentaries,Netflix
201,All of You,2017,104,Dramas,Netflix
202,All the Boys Love Mandy Lane,2006,90,Dark Movies,Netflix
203,All the Reasons to Forget,2017,90,Comedies,Netflix
204,Allied,2016,125,Critically-acclaimed Movies,Netflix
205,Almost Christmas,2016,111,Comedies,Netflix
206,Aloha,2015,105,Comedies,Netflix
207,Along Came a Spider,2001,103,Crime Movies,Netflix
208,Along with the Gods: The Last 49 Days,2018,141,Action & Adventure,Netflix
209,Along with the Gods: The Two Worlds,2017,140,Action & Adventure,Netflix
210,AlphaGo,2017,90,Critically-acclaimed Movies,Netflix
211,Amanda KnoxOriginal,2016,92,Crime Documentaries,Netflix
212,Amar,2017,104,Dramas,Netflix
213,Amar Akbar & Tony,2015,92,British Movies,Netflix
214,AmateurOriginal,2018,96,Dramas,Netflix
215,Amelia: A Tale of Two Sisters,2017,44,Biographical Documentaries,Netflix
216,American Anarchist,2016,81,Biographical Documentaries,Netflix
217,American Experience: Rachel Carson,2017,114,Biographical Documentaries,Netflix
218,American Experience: Tesla,2016,54,Biographical Documentaries,Netflix
219,American Experience: The Battle of Chosin,2016,114,Dark Movies,Netflix
220,American Experience: The Race Underground,2017,54,Documentaries,Netflix
221,American Heist,2014,95,Action & Adventure,Netflix
222,American Honey,2016,163,Dramas,Netflix
223,American Hustle,2013,138,Comedies,Netflix
224,American Pastoral,2016,108,Dramas,Netflix
225,American Poltergeist,2015,78,Horror Movies,Netflix
226,American Poltergeist 2,2014,103,Horror Movies,Netflix
227,American Wedding,2003,96,Comedies,Netflix
228,Amnesia,2015,96,Dramas,Netflix
229,Amok,2014,84,Crime Dramas,Netflix
230,Among Family,2017,127,Comedies,Netflix
231,Among the Believers,2015,83,Critically-acclaimed Movies,Netflix
