Name,IMDB Rating,Duration,Year,Age,Genres
Sangharsh,7.2,124 min,1999,18+,"Bollywood, Bollywood: Drama, Bollywood: Thriller, Drama, Drama: Bollywood, Drama: Thriller, Thriller, Thriller: Crime, World Cinema: Indian"
Devaraya,3.8,129 min,2012,13+,"Drama, Drama: Period, Drama: Romance, World Cinema: Indian"
Sweeney Todd: The Demon Barber of Fleet Street (2007),7.4,116 min,2007,18+,"Drama: Crime, Music/Musical: Musical, Thriller"
Fakt Ladh Mhana,6.8,150 min,2011,13+,"Drama: Crime, World Cinema: Indian"
Filmistaan,7.3,105 min,2012,All Ages,"Bollywood: Comedy, Bollywood: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Sukumarudu,5.9,170 min,2013,13+,"Drama: Romance, World Cinema: Indian"
C I D,7.6,138 min,1956,All Ages,"Bollywood: Drama, Bollywood: Thriller, Drama: Crime, Drama: Mystery, Drama: Thriller, World Cinema: Indian"
Gulmohar,5.8,109 min,2009,NR,"Drama, World Cinema: Indian"
Maachis,7.9,156 min,1996,18+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Political, World Cinema: Indian"
Unnai Ninaithu,8.4,163 min,2002,All Ages,"Drama: Romance, Romance: Drama, World Cinema: Indian"
Aanjaneya,3.8,174 min,2003,All Ages,"Drama, Drama: Crime, World Cinema: Indian"
Parasakthi,7.3,170 min,1952,All Ages,"Drama, World Cinema: Indian"
Boss I Love You,4.2,154 min,2006,All Ages,"Drama: Romance, World Cinema: Indian"
Paradh,7.2,127 min,2010,13+,"Drama: Political, World Cinema: Indian"
Outbreak,6.6,128 min,1995,18+,Drama: Thriller
Tiladaanam,7.1,86 min,2001,All Ages,"Drama, World Cinema: Indian"
Ganashatru,7.3,99 min,1989,All Ages,"Drama, World Cinema: Indian"
Thodu,,137 min,1997,All Ages,"Drama, World Cinema: Indian"
Mukkam Post Dhanori,5.8,133 min,2014,All Ages,"Drama: Mystery, Thriller: Drama, World Cinema: Indian"
Daag,7.1,146 min,1973,7+,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Morya,7.2,120 min,2011,13+,"Drama, World Cinema: Indian"
Malligadu Marriage Bureau,,151 min,2014,13+,"Comedy: Drama, Drama: Comedy, World Cinema: Indian"
Break Up,,131 min,2013,13+,"Drama: Crime, Drama: Romance, Romance: Drama, World Cinema: Indian"
Bhagavathy,5.3,157 min,2002,13+,"Drama, Drama: Crime, World Cinema: Indian"
Ontari,6,141 min,2008,13+,"Drama: Crime, Romance: Action/Adventure, World Cinema: Indian"
Kevvu Keka,5.4,146 min,2013,13+,"Comedy: Drama, Drama: Comedy, World Cinema: Indian"
Sapnay,7,142 min,1997,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Snegithiye,6.8,154 min,2000,All Ages,"Drama: Crime, Drama: Mystery, Drama: Thriller, World Cinema: Indian"
Gawaahi,5.2,111 min,1989,13+,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, Drama: Plays/Performance, World Cinema: Indian"
Badha,7.3,87 min,2006,All Ages,"Drama, World Cinema: Indian"
Marupakkam,7.3,83 min,1990,All Ages,"Drama: Family, World Cinema: Indian"
Chandni Bar,7.7,144 min,2001,18+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Kaala Patthar,7.8,171 min,1979,7+,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian"
Mella Thiranthathu Kadhavu,7.2,142 min,1986,All Ages,"Drama, Drama: Romance, World Cinema: Indian"
Sooriyan,,152 min,1992,All Ages,"Drama: Crime, World Cinema: Indian"
